task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
B10,Summarise,DeepSeek,B_V5,0,0,0,0,0,0,0,0
B10,Summarise,Flash,B_V5,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,1
B10,Summarise,Gemini,B_V5,0.3333333333,0.3333333333,1,1,0.3333333333,0.6666666667,0.6666666667,0.3333333333
B10,Summarise,Qwen,B_V5,1,1,0.3333333333,0,1,1,1,0.6666666667
B10,Summarise,DeepSeek,B_V3,0,0,1,0,0,0,0,0
B10,Summarise,Flash,B_V3,1,0.6666666667,0.6666666667,0,0.3333333333,1,0.6666666667,1
B10,Summarise,Gemini,B_V3,0.6666666667,0.3333333333,0.3333333333,0,1,0.3333333333,0.3333333333,0.3333333333
B10,Summarise,Qwen,B_V3,0.3333333333,1,0,1,0.6666666667,0.6666666667,1,0.6666666667
B11,Summarise,DeepSeek,B_V3,0,0,0.3333333333,0,0,0,0,0
B11,Summarise,Flash,B_V3,0.6666666667,0.3333333333,0.6666666667,0.5,0.3333333333,0.3333333333,0.6666666667,1
B11,Summarise,Gemini,B_V3,0.3333333333,0.6666666667,1,1,0.6666666667,0.6666666667,0.3333333333,0.3333333333
B11,Summarise,Qwen,B_V3,1,1,0,0,1,1,1,0.6666666667
B11,Summarise,DeepSeek,B_V2,0,0,0,0,0,0,0,0
B11,Summarise,Flash,B_V2,0.3333333333,0.3333333333,0.6666666667,0.5,0.3333333333,0.3333333333,0.6666666667,1
B11,Summarise,Gemini,B_V2,0.6666666667,0.6666666667,1,1,0.6666666667,0.6666666667,0.3333333333,0.3333333333
B11,Summarise,Qwen,B_V2,1,1,0.3333333333,0,1,1,1,0.6666666667
B12,Summarise,DeepSeek,B_V1,0,0,1,0,0,0,0,0
B12,Summarise,Flash,B_V1,0.6666666667,0.3333333333,0.3333333333,0.5,1,1,0.6666666667,1
B12,Summarise,Gemini,B_V1,0.3333333333,0.6666666667,0.6666666667,1,0.3333333333,0.6666666667,0.3333333333,0.6666666667
B12,Summarise,Qwen,B_V1,1,1,0,0,0.6666666667,0.3333333333,1,0.3333333333
B12,Summarise,DeepSeek,B_V4,0,0,0.3333333333,0,0,0,0,0
B12,Summarise,Flash,B_V4,0.6666666667,1,1,0.5,1,0.6666666667,1,1
B12,Summarise,Gemini,B_V4,0.3333333333,0.3333333333,0.6666666667,1,0.3333333333,0.3333333333,0.6666666667,0.6666666667
B12,Summarise,Qwen,B_V4,1,0.6666666667,0,0,0.6666666667,1,0.3333333333,0.3333333333
C7,Summarise,DeepSeek,C_V3,0,0,1,0,0,0,0,0
C7,Summarise,Flash,C_V3,0.6666666667,0.6666666667,0.3333333333,0,0.6666666667,1,0.3333333333,0.6666666667
C7,Summarise,Gemini,C_V3,1,0.3333333333,0.6666666667,0,0.3333333333,0.3333333333,0.6666666667,0.3333333333
C7,Summarise,Qwen,C_V3,0.3333333333,1,0,1,1,0.6666666667,1,1
C7,Summarise,DeepSeek,C_V1,0,0,0,0,0,0,0,0
C7,Summarise,Flash,C_V1,1,0.6666666667,0.3333333333,0,0.6666666667,0.6666666667,0.3333333333,0.6666666667
C7,Summarise,Gemini,C_V1,0.6666666667,0.3333333333,0.6666666667,0,0.3333333333,0.3333333333,0.6666666667,0.3333333333
C7,Summarise,Qwen,C_V1,0.3333333333,1,1,1,1,1,1,1
C8,Summarise,DeepSeek,C_V1,0,0,0.3333333333,0,0,0,0,0
C8,Summarise,Flash,C_V1,0.6666666667,0.3333333333,0.6666666667,0,0.6666666667,0.3333333333,0.6666666667,0.6666666667
C8,Summarise,Gemini,C_V1,0.3333333333,0.6666666667,1,1,0.3333333333,0.6666666667,0.3333333333,0.3333333333
C8,Summarise,Qwen,C_V1,1,1,0,0,1,1,1,1
C8,Summarise,DeepSeek,C_V4,0,0,1,0,0,0,0,0
C8,Summarise,Flash,C_V4,1,0.6666666667,0.3333333333,0,0.6666666667,0.6666666667,0.6666666667,0.6666666667
C8,Summarise,Gemini,C_V4,0.6666666667,0.3333333333,0.6666666667,0,0.3333333333,0.3333333333,0.3333333333,0.3333333333
C8,Summarise,Qwen,C_V4,0.3333333333,1,0,1,1,1,1,1
C9,Summarise,DeepSeek,C_V3,0,0,1,0,0,0,0.3333333333,0
C9,Summarise,Flash,C_V3,0.6666666667,0.6666666667,0.3333333333,0,0.6666666667,0.6666666667,0.6666666667,1
C9,Summarise,Gemini,C_V3,0.3333333333,0.3333333333,0.6666666667,1,0.3333333333,0.3333333333,0,0.3333333333
C9,Summarise,Qwen,C_V3,1,1,0,0,1,1,1,0.6666666667
C10,Summarise,DeepSeek,C_V2,0,0,0,0,0,0,0,0
C10,Summarise,Flash,C_V2,0.3333333333,0.6666666667,0.3333333333,0,0.6666666667,1,0.3333333333,0.3333333333
C10,Summarise,Gemini,C_V2,1,0.3333333333,1,0,0.3333333333,0.3333333333,0.6666666667,1
C10,Summarise,Qwen,C_V2,0.6666666667,1,0.6666666667,1,1,0.6666666667,1,0.6666666667
C11,Summarise,DeepSeek,C_V5,0,0,0.3333333333,0,0,0,0,0
C11,Summarise,Flash,C_V5,0.3333333333,0.6666666667,0.6666666667,0,0.6666666667,0.6666666667,0.3333333333,0.3333333333
C11,Summarise,Gemini,C_V5,1,0.3333333333,0,0,0.3333333333,0.3333333333,0.6666666667,1
C11,Summarise,Qwen,C_V5,0.6666666667,1,1,1,1,1,1,0.6666666667
C11,Summarise,DeepSeek,C_V4,0,0,1,0,0,0,0,0
C11,Summarise,Flash,C_V4,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,0.6666666667
C11,Summarise,Gemini,C_V4,0.3333333333,0.3333333333,0,1,0.3333333333,0.6666666667,1,0.3333333333
C11,Summarise,Qwen,C_V4,1,1,0.3333333333,0,1,1,0.6666666667,1
C12,Summarise,DeepSeek,C_V5,0,0,1,0,0,0,0.3333333333,0
C12,Summarise,Flash,C_V5,0.6666666667,0.3333333333,0.6666666667,0,0.6666666667,0.3333333333,0.6666666667,0.6666666667
C12,Summarise,Gemini,C_V5,0.3333333333,0.6666666667,0.3333333333,1,0.3333333333,0.6666666667,0,0.3333333333
C12,Summarise,Qwen,C_V5,1,1,0,0,1,1,1,1
C12,Summarise,DeepSeek,C_V2,0,0,1,0,0.3333333333,0,1,0.3333333333
C12,Summarise,Flash,C_V2,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,0.6666666667
C12,Summarise,Gemini,C_V2,0.3333333333,0.3333333333,0.3333333333,1,0,0.6666666667,0.6666666667,0
C12,Summarise,Qwen,C_V2,1,1,0,0,1,1,0,1
