task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
B1,Idea-to-Text,Gemini,B_V4,0,0,1,0,0.6666666667,0,0.6666666667,0.3333333333
B1,Idea-to-Text,Qwen,B_V4,0.6666666667,0.3333333333,0.6666666667,1,0.3333333333,1,0.3333333333,1
B2,Idea-to-Text,DeepSeek,B_V5,0.6666666667,0.6666666667,0.6666666667,0,1,1,1,0.3333333333
B2,Idea-to-Text,Flash,B_V5,0.3333333333,0.3333333333,0.3333333333,0,0.3333333333,0.3333333333,0.3333333333,0.6666666667
B2,Idea-to-Text,Gemini,B_V5,1,0,1,0,0.6666666667,0.6666666667,0.6666666667,0
B2,Idea-to-Text,Qwen,B_V5,0,1,0,1,0,0,0,1
B2,Idea-to-Text,DeepSeek,B_V1,0.6666666667,0.3333333333,0.6666666667,0,1,0.6666666667,0.6666666667,0.6666666667
B2,Idea-to-Text,Flash,B_V1,0,0.6666666667,0.3333333333,0.6666666667,0.3333333333,0.3333333333,0.3333333333,0
B2,Idea-to-Text,Gemini,B_V1,0.3333333333,0,1,0.3333333333,0.6666666667,0,1,0.3333333333
B2,Idea-to-Text,Qwen,B_V1,1,1,0,1,0,1,0,1
B3,Idea-to-Text,DeepSeek,B_V1,0.3333333333,0.3333333333,0.3333333333,0,1,0.3333333333,1,0
B3,Idea-to-Text,Flash,B_V1,0.6666666667,0.6666666667,0,0,0.6666666667,0.6666666667,0.6666666667,0.6666666667
B3,Idea-to-Text,Gemini,B_V1,0,0,1,0,0.3333333333,0,0.3333333333,0.3333333333
B3,Idea-to-Text,Qwen,B_V1,1,1,0.6666666667,1,0,1,0,1
B3,Idea-to-Text,DeepSeek,B_V3,0.3333333333,0.6666666667,0.6666666667,0,1,0.3333333333,0.6666666667,0
B3,Idea-to-Text,Flash,B_V3,1,0.3333333333,0,0,0.3333333333,1,0,1
B3,Idea-to-Text,Gemini,B_V3,0,0,0.3333333333,0,0.6666666667,0,0.3333333333,0.3333333333
B3,Idea-to-Text,Qwen,B_V3,0.6666666667,1,1,1,0,0.6666666667,1,0.6666666667
B4,Idea-to-Text,DeepSeek,B_V3,1,1,0.6666666667,0,0.6666666667,0.3333333333,1,1
B4,Idea-to-Text,Flash,B_V3,0.3333333333,0.6666666667,0,0,1,1,0.6666666667,0
B4,Idea-to-Text,Gemini,B_V3,0,0,1,0,0,0,0.3333333333,0.6666666667
B4,Idea-to-Text,Qwen,B_V3,0.6666666667,0.3333333333,0.3333333333,1,0.3333333333,0.6666666667,0,0.3333333333
B5,Idea-to-Text,DeepSeek,B_V2,1,0.6666666667,0.3333333333,0,0.6666666667,0.3333333333,0.6666666667,0
B5,Idea-to-Text,Flash,B_V2,0,1,0,0,1,1,1,0.6666666667
B5,Idea-to-Text,Gemini,B_V2,0.6666666667,0.3333333333,0.6666666667,0,0.3333333333,0,0.3333333333,0.3333333333
B5,Idea-to-Text,Qwen,B_V2,0.3333333333,0,1,1,0,0.6666666667,0,1
B6,Idea-to-Text,DeepSeek,B_V4,0,0,0,0,0.6666666667,1,0.6666666667,0.3333333333
B6,Idea-to-Text,Flash,B_V4,1,0.6666666667,0.3333333333,0,0.3333333333,0.3333333333,0.3333333333,0.6666666667
B6,Idea-to-Text,Gemini,B_V4,0.3333333333,0.3333333333,1,0,1,0,1,0
B6,Idea-to-Text,Qwen,B_V4,0.6666666667,1,0.6666666667,1,0,0.6666666667,0,1
B6,Idea-to-Text,DeepSeek,B_V2,0,1,0,0,0.6666666667,0.6666666667,0.6666666667,0.3333333333
B6,Idea-to-Text,Flash,B_V2,1,0.3333333333,0.3333333333,0,0.3333333333,1,0.3333333333,0.6666666667
B6,Idea-to-Text,Gemini,B_V2,0.3333333333,0,1,0,1,0,1,0
B6,Idea-to-Text,Qwen,B_V2,0.6666666667,0.6666666667,0.6666666667,1,0,0.3333333333,0,1
C1,Idea-to-Text,DeepSeek,C_V5,0,1,0.6666666667,0,1,0,0,0.6666666667
C1,Idea-to-Text,Flash,C_V5,0.6666666667,0.6666666667,0,0,0.6666666667,0.6666666667,0.6666666667,0
C1,Idea-to-Text,Gemini,C_V5,1,0,1,1,0,0.3333333333,1,0.3333333333
C1,Idea-to-Text,Qwen,C_V5,0.3333333333,0.3333333333,0.3333333333,0,0.3333333333,1,0.3333333333,1
C2,Idea-to-Text,DeepSeek,C_V3,0.3333333333,1,0.6666666667,0,1,0.6666666667,0.6666666667,0.6666666667
C2,Idea-to-Text,Flash,C_V3,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,0.3333333333
C2,Idea-to-Text,Gemini,C_V3,0.6666666667,0,1,0,0.6666666667,0,1,0
C2,Idea-to-Text,Qwen,C_V3,1,0.6666666667,0.3333333333,1,0.3333333333,1,0,1
C2,Idea-to-Text,DeepSeek,C_V1,0.3333333333,1,0.6666666667,0,1,0.3333333333,0.6666666667,0.6666666667
C2,Idea-to-Text,Flash,C_V1,0,0.3333333333,0,0,0,0,0.3333333333,0.3333333333
C2,Idea-to-Text,Gemini,C_V1,0.6666666667,0,1,0,0.6666666667,0.6666666667,1,0
C2,Idea-to-Text,Qwen,C_V1,1,0.6666666667,0.3333333333,1,0.3333333333,1,0,1
C3,Idea-to-Text,DeepSeek,C_V1,0,1,0.6666666667,0,0.6666666667,0,0.6666666667,0
C3,Idea-to-Text,Flash,C_V1,1,0,0.3333333333,0,0,0.6666666667,0.3333333333,0.6666666667
C3,Idea-to-Text,Gemini,C_V1,0.6666666667,0.3333333333,1,0,1,0.3333333333,1,0.3333333333
C3,Idea-to-Text,Qwen,C_V1,0.3333333333,0.6666666667,0,1,0.3333333333,1,0,1
C4,Idea-to-Text,DeepSeek,C_V5,1,0.3333333333,0.6666666667,0,1,0.3333333333,1,0
C4,Idea-to-Text,Flash,C_V5,0.6666666667,1,0.3333333333,0.5,0.6666666667,0.6666666667,0.6666666667,0.3333333333
C4,Idea-to-Text,Gemini,C_V5,0.3333333333,0,1,0,0,0,0.3333333333,0.6666666667
C4,Idea-to-Text,Qwen,C_V5,0,0.6666666667,0,1,0.3333333333,1,0,1
C4,Idea-to-Text,DeepSeek,C_V2,0,0.3333333333,0.3333333333,0,1,0.3333333333,1,0.3333333333
C4,Idea-to-Text,Flash,C_V2,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,0.6666666667,0.6666666667,0
C4,Idea-to-Text,Gemini,C_V2,0.3333333333,0,1,0,0,0,0.3333333333,0.6666666667
C4,Idea-to-Text,Qwen,C_V2,1,1,0,1,0.3333333333,1,0,1
C5,Idea-to-Text,DeepSeek,C_V3,0.6666666667,0.6666666667,0.3333333333,0,0.6666666667,0.6666666667,0.6666666667,0.3333333333
C5,Idea-to-Text,Flash,C_V3,1,1,0,0,1,1,0.3333333333,0.6666666667
C5,Idea-to-Text,Gemini,C_V3,0.3333333333,0,0.6666666667,0,0.3333333333,0.3333333333,1,0
C5,Idea-to-Text,Qwen,C_V3,0,0.3333333333,1,1,0,0,0,1
C5,Idea-to-Text,DeepSeek,C_V4,0,0.6666666667,0.3333333333,0,0.6666666667,0.3333333333,0.6666666667,0
C5,Idea-to-Text,Flash,C_V4,1,1,0,0,1,1,0.3333333333,0.6666666667
C5,Idea-to-Text,Gemini,C_V4,0.3333333333,0,1,0,0.3333333333,0,1,0.3333333333
C5,Idea-to-Text,Qwen,C_V4,0.6666666667,0.3333333333,0.6666666667,1,0,0.6666666667,0,1
C6,Idea-to-Text,DeepSeek,C_V2,1,1,0.6666666667,0,1,0.6666666667,0.6666666667,0.3333333333
C6,Idea-to-Text,Flash,C_V2,0.3333333333,0.6666666667,0,0,0.3333333333,0.3333333333,0,0.6666666667
C6,Idea-to-Text,Gemini,C_V2,0,0,1,0,0,0,1,0
C6,Idea-to-Text,Qwen,C_V2,0.6666666667,0.3333333333,0.3333333333,1,0.6666666667,1,0.3333333333,1
C6,Idea-to-Text,DeepSeek,C_V4,1,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.6666666667,0.3333333333
C6,Idea-to-Text,Flash,C_V4,0.6666666667,1,0,0,0.3333333333,0.6666666667,0,0.6666666667
C6,Idea-to-Text,Gemini,C_V4,0,0,1,0,0,0,1,0
C6,Idea-to-Text,Qwen,C_V4,0.3333333333,0.3333333333,0.3333333333,1,1,1,0.3333333333,1
